Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_5,Blue,C_14_5_Blue,14,control,Post4,22/03/2024,6.7,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_5,Orange,C_14_5_Orange,14,control,Pre1,16/02/2024,6,2.4,,22,4014.15,413.746,3.16983,25,421.421,54,48.2148
C_14_5,Orange,C_14_5_Orange,14,control,Pre2,19/02/2024,6,2.4,,32,3964.22,386.552,15.1818,30,407.74,51,63.7302
C_14_5,Orange,C_14_5_Orange,14,control,Pre3,22/02/2024,6,2.4,,32,1085.95,148.315,4.67132,10,154.654,20,37.0369
C_14_5,Orange,C_14_5_Orange,14,control,Pre4,25/02/2024,6,2.4,,102,2230.86,236.903,4.67132,29,250.249,48,59.2257
C_14_5,Orange,C_14_5_Orange,14,control,Post1,13/03/2024,6,2.4,,31,283.458,37.3706,1.16783,10,40.3736,15,17.8511
C_14_5,Orange,C_14_5_Orange,14,control,Post2,16/03/2024,6,2.4,,27,1034.21,111.611,2.66933,23,120.954,35,53.3866
C_14_5,Orange,C_14_5_Orange,14,control,Post3,19/03/2024,6,2.4,,30,168.228,8.17482,591.923,1,600.265,1,94.4275
C_14_5,Orange,C_14_5_Orange,14,control,Post4,22/03/2024,6,2.4,DIED,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_5,Pink,C_14_5_Pink,14,control,Pre1,16/02/2024,6.2,2.3,,23,2837.11,373.706,144.478,22,522.355,43,128.295
C_14_5,Pink,C_14_5_Pink,14,control,Pre2,19/02/2024,6.2,2.3,,33,1520.08,201.034,15.8492,19,220.887,30,57.8911
C_14_5,Pink,C_14_5_Pink,14,control,Pre3,22/02/2024,6.2,2.3,,33,1686.66,206.873,10.3436,20,222.555,32,39.8731
C_14_5,Pink,C_14_5_Pink,14,control,Pre4,25/02/2024,6.2,2.3,,103,2135.01,253.252,16.1828,16,273.106,26,36.8701
C_14_5,Pink,C_14_5_Pink,14,control,Post1,13/03/2024,6.2,2.3,,32,1395.15,164.331,13.5135,18,185.518,29,30.3636
C_14_5,Pink,C_14_5_Pink,14,control,Post2,16/03/2024,6.2,2.3,,28,2646.73,202.035,17.1838,27,225.558,42,58.5584
C_14_5,Pink,C_14_5_Pink,14,control,Post3,19/03/2024,6.2,2.3,,31,705.853,90.7572,4.83816,18,99.2656,26,35.8691
C_14_5,Pink,C_14_5_Pink,14,control,Post4,22/03/2024,6.2,2.3,,21,1011.83,114.614,4.67132,12,122.289,22,26.5264
C_14_5,Yellow,C_14_5_Yellow,14,control,Pre1,16/02/2024,5.6,2.1,,24,3391.2,461.794,115.782,4,578.243,9,15.5155
C_14_5,Yellow,C_14_5_Yellow,14,control,Pre2,19/02/2024,5.6,2.1,,34,3083.98,379.712,25.1918,34,411.411,61,84.5844
C_14_5,Yellow,C_14_5_Yellow,14,control,Pre3,22/02/2024,5.6,2.1,,34,1423.89,230.897,24.6913,36,262.429,53,96.7633
